age,sex,origin,previous_grade,attendance,online_time,extracurricular,midterm_score,success
18,F,A,18.86603032008109,0.562510946707864,13.881400583214432,2,10.871499544534114,1
25,M,B,15.080486641998245,0.6226227948954226,17.09884754443895,3,11.501486379122046,1
21,F,D,15.684798299359324,0.5394541601686442,13.222237099124712,1,5.549541866074119,0
21,M,E,17.427235937105703,0.590465922671369,7.705844317945263,1,8.43050279840318,0
23,M,A,10.285727240558044,0.654779227030432,14.638611780052956,2,7.078879974747969,0
27,F,E,11.29888430313782,0.638467924778096,10.359111002229039,4,6.8616813910006735,0
24,F,B,14.48851957477926,0.9521839242815443,8.55194834652128,2,18.192969145057567,1
23,M,E,17.501135885601286,0.6310839177102725,2.143617741518553,2,9.878886354158308,1
19,F,A,12.700586442515654,0.581130870225503,14.437243286784472,2,0.22684828131896317,1
22,M,E,17.28200512021625,0.7106473325922613,19.312890725113462,1,12.168912096696666,1
28,M,D,19.45674015808358,0.6236943603315496,0.2495910850932459,0,6.43540959298347,1
25,M,D,12.374279198820291,0.7517392283843376,12.22160657515733,1,3.066945374844563,0
29,F,E,14.764648469890407,0.6123629799040571,15.495089244219177,0,7.944410826557149,1
27,F,A,15.722020061110253,0.9044257981969848,16.34411267675319,0,1.3206054915317367,1
22,M,A,15.53801449714917,0.7385173105939421,17.417049527822446,2,4.204004030863892,1
18,M,A,14.973531748591272,0.9330795048433909,15.73167331975081,1,3.758707255709135,0
18,F,B,16.95164405931677,0.6211100826001328,7.1784268845410875,0,19.122280850177745,1
21,F,C,16.592360210144882,0.5795118987587202,12.174725092784106,2,17.566368873188367,1
27,F,A,17.56043184706898,0.9534265282532394,15.282368204842573,0,17.035898134519595,1
21,M,E,14.571713656996657,0.8955209778873472,10.221369894859212,0,18.167005466625884,1
21,F,E,16.70338178250672,0.7312917079089646,6.429400173302319,3,16.69342964640419,1
19,M,A,13.758004149779229,0.791675050655408,17.395529549191938,4,14.213527608934298,1
18,F,B,17.521874303671865,0.6182079495055839,3.575777333036403,0,2.1222398437787127,0
25,F,C,16.081398360282567,0.6059575150501322,1.0558377482139836,0,18.05501055947113,1
24,F,C,16.170200376739803,0.8428346161886913,13.027105268641478,0,0.8682011016573377,1
21,F,C,18.00413209934463,0.8762549309839449,7.619302564948207,2,1.8007393510934744,1
28,F,E,18.311992598243187,0.7360965223233398,0.15089519642769833,4,13.763855347918279,1
28,F,E,17.66897827170004,0.543227489060518,10.762377595102915,2,4.58225019441727,1
19,F,A,13.604404766654241,0.766538769761657,13.479065032486249,2,17.93355771910602,1
18,F,E,17.858270184195383,0.6476776219614403,7.823187212139113,2,9.661183656239231,1
24,M,C,18.452269531375727,0.8689859147557663,2.513109158594271,3,5.126979908828835,1
29,M,E,13.079711749630146,0.9636578463879832,12.85178505190953,1,10.19907912580731,1
28,F,B,12.114208425094661,0.545740810087682,3.96512558164835,0,5.632192178606552,0
24,M,A,11.61776576612129,0.9096202833346805,2.4095599821721714,1,18.199938065230885,1
25,F,C,18.091571993599672,0.9085854267218456,3.9770800278219576,1,10.21017259628207,1
29,M,B,15.428456645308154,0.8640009833944471,19.77382195552791,0,9.977156505089866,1
26,M,A,10.501316220950022,0.6416932014941431,6.435656059947408,1,10.757447949157113,0
26,M,A,19.728316736847553,0.9712423695218755,18.64819829289099,1,12.323783245504137,1
18,F,C,14.378882149487728,0.7273853770705143,5.7439137682811525,3,14.088738396691156,1
22,M,C,12.664611308774738,0.6984189911795302,19.752887808363607,0,18.312860933004913,1
